ImageID,"(T_A, T_B)",optA_img,optB_img,true_img,baseline_img,humanChoice,rejectionChoice
26,"(np.float64(0.2893705979604781), np.float64(0.7585596924780393))",DPO_dataset/Img_A/A_26.png,DPO_dataset/Img_B/B_26.png,DPO_dataset/Img_true/Real_26.png,DPO_dataset/Img_baseline/Baseline_26.png,DPO_dataset/Img_A/A_26.png,DPO_dataset/Img_B/B_26.png
27,"(np.float64(0.5014941193982552), np.float64(0.5704148491983375))",DPO_dataset/Img_A/A_27.png,DPO_dataset/Img_B/B_27.png,DPO_dataset/Img_true/Real_27.png,DPO_dataset/Img_baseline/Baseline_27.png,DPO_dataset/Img_A/A_27.png,DPO_dataset/Img_A/A_27.png
28,"(np.float64(0.24858477499700896), np.float64(0.7854322588182693))",DPO_dataset/Img_A/A_28.png,DPO_dataset/Img_B/B_28.png,DPO_dataset/Img_true/Real_28.png,DPO_dataset/Img_baseline/Baseline_28.png,,
29,"(np.float64(0.15327209809025114), np.float64(0.9609247440424373))",DPO_dataset/Img_A/A_29.png,DPO_dataset/Img_B/B_29.png,DPO_dataset/Img_true/Real_29.png,DPO_dataset/Img_baseline/Baseline_29.png,,
30,"(np.float64(0.44557814524482664), np.float64(0.7911973703639995))",DPO_dataset/Img_A/A_30.png,DPO_dataset/Img_B/B_30.png,DPO_dataset/Img_true/Real_30.png,DPO_dataset/Img_baseline/Baseline_30.png,,
31,"(np.float64(0.4243092436610546), np.float64(0.7912316003142518))",DPO_dataset/Img_A/A_31.png,DPO_dataset/Img_B/B_31.png,DPO_dataset/Img_true/Real_31.png,DPO_dataset/Img_baseline/Baseline_31.png,DPO_dataset/Img_B/B_31.png,DPO_dataset/Img_A/A_31.png
32,"(np.float64(0.17216080406768286), np.float64(0.979044070821117))",DPO_dataset/Img_A/A_32.png,DPO_dataset/Img_B/B_32.png,DPO_dataset/Img_true/Real_32.png,DPO_dataset/Img_baseline/Baseline_32.png,DPO_dataset/Img_B/B_32.png,DPO_dataset/Img_B/B_32.png
33,"(np.float64(0.34123406903231135), np.float64(0.8884520493730779))",DPO_dataset/Img_A/A_33.png,DPO_dataset/Img_B/B_33.png,DPO_dataset/Img_true/Real_33.png,DPO_dataset/Img_baseline/Baseline_33.png,,
34,"(np.float64(0.21234123963048337), np.float64(0.8532463512392362))",DPO_dataset/Img_A/A_34.png,DPO_dataset/Img_B/B_34.png,DPO_dataset/Img_true/Real_34.png,DPO_dataset/Img_baseline/Baseline_34.png,,
35,"(np.float64(0.43675377006550303), np.float64(0.857211473663576))",DPO_dataset/Img_A/A_35.png,DPO_dataset/Img_B/B_35.png,DPO_dataset/Img_true/Real_35.png,DPO_dataset/Img_baseline/Baseline_35.png,DPO_dataset/Img_B/B_35.png,DPO_dataset/Img_B/B_35.png
36,"(np.float64(0.4278590003078373), np.float64(0.8254710008579312))",DPO_dataset/Img_A/A_36.png,DPO_dataset/Img_B/B_36.png,DPO_dataset/Img_true/Real_36.png,DPO_dataset/Img_baseline/Baseline_36.png,,
37,"(np.float64(0.2264701807295372), np.float64(0.8336247844916783))",DPO_dataset/Img_A/A_37.png,DPO_dataset/Img_B/B_37.png,DPO_dataset/Img_true/Real_37.png,DPO_dataset/Img_baseline/Baseline_37.png,DPO_dataset/Img_A/A_37.png,DPO_dataset/Img_A/A_37.png
38,"(np.float64(0.3622103409409215), np.float64(0.8850801489388583))",DPO_dataset/Img_A/A_38.png,DPO_dataset/Img_B/B_38.png,DPO_dataset/Img_true/Real_38.png,DPO_dataset/Img_baseline/Baseline_38.png,DPO_dataset/Img_B/B_38.png,DPO_dataset/Img_A/A_38.png
39,"(np.float64(0.20554603520015174), np.float64(0.863169131113775))",DPO_dataset/Img_A/A_39.png,DPO_dataset/Img_B/B_39.png,DPO_dataset/Img_true/Real_39.png,DPO_dataset/Img_baseline/Baseline_39.png,,
40,"(np.float64(0.4892405310954351), np.float64(0.9123053901799104))",DPO_dataset/Img_A/A_40.png,DPO_dataset/Img_B/B_40.png,DPO_dataset/Img_true/Real_40.png,DPO_dataset/Img_baseline/Baseline_40.png,DPO_dataset/Img_A/A_40.png,DPO_dataset/Img_A/A_40.png
41,"(np.float64(0.3707652451664001), np.float64(0.84222511550649))",DPO_dataset/Img_A/A_41.png,DPO_dataset/Img_B/B_41.png,DPO_dataset/Img_true/Real_41.png,DPO_dataset/Img_baseline/Baseline_41.png,,
42,"(np.float64(0.28565511499735957), np.float64(0.7071713403300007))",DPO_dataset/Img_A/A_42.png,DPO_dataset/Img_B/B_42.png,DPO_dataset/Img_true/Real_42.png,DPO_dataset/Img_baseline/Baseline_42.png,,
43,"(np.float64(0.24993211296152154), np.float64(0.8190803228503972))",DPO_dataset/Img_A/A_43.png,DPO_dataset/Img_B/B_43.png,DPO_dataset/Img_true/Real_43.png,DPO_dataset/Img_baseline/Baseline_43.png,DPO_dataset/Img_B/B_43.png,DPO_dataset/Img_A/A_43.png
44,"(np.float64(0.25456751376735387), np.float64(0.9397794943980226))",DPO_dataset/Img_A/A_44.png,DPO_dataset/Img_B/B_44.png,DPO_dataset/Img_true/Real_44.png,DPO_dataset/Img_baseline/Baseline_44.png,DPO_dataset/Img_B/B_44.png,DPO_dataset/Img_B/B_44.png
45,"(np.float64(0.3009744579273932), np.float64(0.8474557001994711))",DPO_dataset/Img_A/A_45.png,DPO_dataset/Img_B/B_45.png,DPO_dataset/Img_true/Real_45.png,DPO_dataset/Img_baseline/Baseline_45.png,,
46,"(np.float64(0.30560358725113934), np.float64(0.7028535960701262))",DPO_dataset/Img_A/A_46.png,DPO_dataset/Img_B/B_46.png,DPO_dataset/Img_true/Real_46.png,DPO_dataset/Img_baseline/Baseline_46.png,,
47,"(np.float64(0.4443944489673206), np.float64(0.8106472221599962))",DPO_dataset/Img_A/A_47.png,DPO_dataset/Img_B/B_47.png,DPO_dataset/Img_true/Real_47.png,DPO_dataset/Img_baseline/Baseline_47.png,,
48,"(np.float64(0.403810419973274), np.float64(0.7768932507651335))",DPO_dataset/Img_A/A_48.png,DPO_dataset/Img_B/B_48.png,DPO_dataset/Img_true/Real_48.png,DPO_dataset/Img_baseline/Baseline_48.png,,
49,"(np.float64(0.3585361839333433), np.float64(0.7349681740389208))",DPO_dataset/Img_A/A_49.png,DPO_dataset/Img_B/B_49.png,DPO_dataset/Img_true/Real_49.png,DPO_dataset/Img_baseline/Baseline_49.png,,
50,"(np.float64(0.3392622354316138), np.float64(0.7780988394663664))",DPO_dataset/Img_A/A_50.png,DPO_dataset/Img_B/B_50.png,DPO_dataset/Img_true/Real_50.png,DPO_dataset/Img_baseline/Baseline_50.png,DPO_dataset/Img_A/A_50.png,None
51,"(np.float64(0.1241619004466602), np.float64(0.8816083396871767))",DPO_dataset/Img_A/A_51.png,DPO_dataset/Img_B/B_51.png,DPO_dataset/Img_true/Real_51.png,DPO_dataset/Img_baseline/Baseline_51.png,,
52,"(np.float64(0.3323801329110443), np.float64(0.9658623451664478))",DPO_dataset/Img_A/A_52.png,DPO_dataset/Img_B/B_52.png,DPO_dataset/Img_true/Real_52.png,DPO_dataset/Img_baseline/Baseline_52.png,DPO_dataset/Img_B/B_52.png,DPO_dataset/Img_A/A_52.png
53,"(np.float64(0.38703804345612147), np.float64(0.7744714082383365))",DPO_dataset/Img_A/A_53.png,DPO_dataset/Img_B/B_53.png,DPO_dataset/Img_true/Real_53.png,DPO_dataset/Img_baseline/Baseline_53.png,,
54,"(np.float64(0.3370042716345004), np.float64(1.0))",DPO_dataset/Img_A/A_54.png,DPO_dataset/Img_B/B_54.png,DPO_dataset/Img_true/Real_54.png,DPO_dataset/Img_baseline/Baseline_54.png,DPO_dataset/Img_B/B_54.png,DPO_dataset/Img_B/B_54.png
55,"(np.float64(0.4384236044317461), np.float64(0.8605367690858299))",DPO_dataset/Img_A/A_55.png,DPO_dataset/Img_B/B_55.png,DPO_dataset/Img_true/Real_55.png,DPO_dataset/Img_baseline/Baseline_55.png,DPO_dataset/Img_A/A_55.png,DPO_dataset/Img_A/A_55.png
56,"(np.float64(0.34582034196187916), np.float64(0.8808907996055191))",DPO_dataset/Img_A/A_56.png,DPO_dataset/Img_B/B_56.png,DPO_dataset/Img_true/Real_56.png,DPO_dataset/Img_baseline/Baseline_56.png,DPO_dataset/Img_A/A_56.png,DPO_dataset/Img_A/A_56.png
57,"(np.float64(0.32417534024960604), np.float64(0.7855918417815784))",DPO_dataset/Img_A/A_57.png,DPO_dataset/Img_B/B_57.png,DPO_dataset/Img_true/Real_57.png,DPO_dataset/Img_baseline/Baseline_57.png,,
58,"(np.float64(0.26123865405605884), np.float64(0.7778248502615267))",DPO_dataset/Img_A/A_58.png,DPO_dataset/Img_B/B_58.png,DPO_dataset/Img_true/Real_58.png,DPO_dataset/Img_baseline/Baseline_58.png,DPO_dataset/Img_A/A_58.png,DPO_dataset/Img_A/A_58.png
59,"(np.float64(0.2865738417810161), np.float64(0.7503526593705638))",DPO_dataset/Img_A/A_59.png,DPO_dataset/Img_B/B_59.png,DPO_dataset/Img_true/Real_59.png,DPO_dataset/Img_baseline/Baseline_59.png,DPO_dataset/Img_B/B_59.png,DPO_dataset/Img_B/B_59.png
60,"(np.float64(0.42887402514751005), np.float64(0.8097194276172153))",DPO_dataset/Img_A/A_60.png,DPO_dataset/Img_B/B_60.png,DPO_dataset/Img_true/Real_60.png,DPO_dataset/Img_baseline/Baseline_60.png,,
61,"(np.float64(0.5533586553809653), np.float64(0.7017730892058591))",DPO_dataset/Img_A/A_61.png,DPO_dataset/Img_B/B_61.png,DPO_dataset/Img_true/Real_61.png,DPO_dataset/Img_baseline/Baseline_61.png,,
62,"(np.float64(0.26369756510134046), np.float64(0.7881985679132818))",DPO_dataset/Img_A/A_62.png,DPO_dataset/Img_B/B_62.png,DPO_dataset/Img_true/Real_62.png,DPO_dataset/Img_baseline/Baseline_62.png,,
63,"(np.float64(0.2723436548293034), np.float64(0.7263599549104004))",DPO_dataset/Img_A/A_63.png,DPO_dataset/Img_B/B_63.png,DPO_dataset/Img_true/Real_63.png,DPO_dataset/Img_baseline/Baseline_63.png,,
64,"(np.float64(0.1979057768706933), np.float64(0.8762066653558859))",DPO_dataset/Img_A/A_64.png,DPO_dataset/Img_B/B_64.png,DPO_dataset/Img_true/Real_64.png,DPO_dataset/Img_baseline/Baseline_64.png,DPO_dataset/Img_B/B_64.png,DPO_dataset/Img_A/A_64.png
65,"(np.float64(0.3457388416889179), np.float64(0.6326425286363311))",DPO_dataset/Img_A/A_65.png,DPO_dataset/Img_B/B_65.png,DPO_dataset/Img_true/Real_65.png,DPO_dataset/Img_baseline/Baseline_65.png,,
66,"(np.float64(0.25934129080833224), np.float64(0.8364492967886465))",DPO_dataset/Img_A/A_66.png,DPO_dataset/Img_B/B_66.png,DPO_dataset/Img_true/Real_66.png,DPO_dataset/Img_baseline/Baseline_66.png,DPO_dataset/Img_B/B_66.png,DPO_dataset/Img_B/B_66.png
67,"(np.float64(0.3305250380126371), np.float64(0.7606498760067258))",DPO_dataset/Img_A/A_67.png,DPO_dataset/Img_B/B_67.png,DPO_dataset/Img_true/Real_67.png,DPO_dataset/Img_baseline/Baseline_67.png,,
68,"(np.float64(0.4432756040197561), np.float64(0.7703332343589466))",DPO_dataset/Img_A/A_68.png,DPO_dataset/Img_B/B_68.png,DPO_dataset/Img_true/Real_68.png,DPO_dataset/Img_baseline/Baseline_68.png,,
69,"(np.float64(0.31030726974831174), np.float64(0.7984056438883748))",DPO_dataset/Img_A/A_69.png,DPO_dataset/Img_B/B_69.png,DPO_dataset/Img_true/Real_69.png,DPO_dataset/Img_baseline/Baseline_69.png,,
70,"(np.float64(0.35418715923143435), np.float64(0.8749259215150365))",DPO_dataset/Img_A/A_70.png,DPO_dataset/Img_B/B_70.png,DPO_dataset/Img_true/Real_70.png,DPO_dataset/Img_baseline/Baseline_70.png,,
71,"(np.float64(0.20734021250142848), np.float64(0.8454222090482507))",DPO_dataset/Img_A/A_71.png,DPO_dataset/Img_B/B_71.png,DPO_dataset/Img_true/Real_71.png,DPO_dataset/Img_baseline/Baseline_71.png,,
72,"(np.float64(0.5666736366987892), np.float64(0.7373583938205964))",DPO_dataset/Img_A/A_72.png,DPO_dataset/Img_B/B_72.png,DPO_dataset/Img_true/Real_72.png,DPO_dataset/Img_baseline/Baseline_72.png,,
73,"(np.float64(0.41329181046356045), np.float64(0.9645518537540865))",DPO_dataset/Img_A/A_73.png,DPO_dataset/Img_B/B_73.png,DPO_dataset/Img_true/Real_73.png,DPO_dataset/Img_baseline/Baseline_73.png,,
74,"(np.float64(0.10644219399683623), np.float64(1.0))",DPO_dataset/Img_A/A_74.png,DPO_dataset/Img_B/B_74.png,DPO_dataset/Img_true/Real_74.png,DPO_dataset/Img_baseline/Baseline_74.png,,
75,"(np.float64(0.3607253585281085), np.float64(0.8338013986064391))",DPO_dataset/Img_A/A_75.png,DPO_dataset/Img_B/B_75.png,DPO_dataset/Img_true/Real_75.png,DPO_dataset/Img_baseline/Baseline_75.png,,
76,"(np.float64(0.2205217180372457), np.float64(0.5950200119661484))",DPO_dataset/Img_A/A_76.png,DPO_dataset/Img_B/B_76.png,DPO_dataset/Img_true/Real_76.png,DPO_dataset/Img_baseline/Baseline_76.png,DPO_dataset/Img_A/A_76.png,DPO_dataset/Img_B/B_76.png
77,"(np.float64(0.013637672301009936), np.float64(0.7828785834091141))",DPO_dataset/Img_A/A_77.png,DPO_dataset/Img_B/B_77.png,DPO_dataset/Img_true/Real_77.png,DPO_dataset/Img_baseline/Baseline_77.png,,
78,"(np.float64(0.25847907524672775), np.float64(0.6987496875065384))",DPO_dataset/Img_A/A_78.png,DPO_dataset/Img_B/B_78.png,DPO_dataset/Img_true/Real_78.png,DPO_dataset/Img_baseline/Baseline_78.png,,
79,"(np.float64(0.19388089229087388), np.float64(0.7401798192477085))",DPO_dataset/Img_A/A_79.png,DPO_dataset/Img_B/B_79.png,DPO_dataset/Img_true/Real_79.png,DPO_dataset/Img_baseline/Baseline_79.png,,
80,"(np.float64(0.2770424973798871), np.float64(0.9439740894142016))",DPO_dataset/Img_A/A_80.png,DPO_dataset/Img_B/B_80.png,DPO_dataset/Img_true/Real_80.png,DPO_dataset/Img_baseline/Baseline_80.png,,
81,"(np.float64(0.5435709769648891), np.float64(0.7963163573794844))",DPO_dataset/Img_A/A_81.png,DPO_dataset/Img_B/B_81.png,DPO_dataset/Img_true/Real_81.png,DPO_dataset/Img_baseline/Baseline_81.png,DPO_dataset/Img_B/B_81.png,DPO_dataset/Img_A/A_81.png
82,"(np.float64(0.3283014329398252), np.float64(0.7295673986129211))",DPO_dataset/Img_A/A_82.png,DPO_dataset/Img_B/B_82.png,DPO_dataset/Img_true/Real_82.png,DPO_dataset/Img_baseline/Baseline_82.png,DPO_dataset/Img_B/B_82.png,DPO_dataset/Img_A/A_82.png
83,"(np.float64(0.30117385258567597), np.float64(0.6847089570643812))",DPO_dataset/Img_A/A_83.png,DPO_dataset/Img_B/B_83.png,DPO_dataset/Img_true/Real_83.png,DPO_dataset/Img_baseline/Baseline_83.png,DPO_dataset/Img_B/B_83.png,DPO_dataset/Img_B/B_83.png
84,"(np.float64(0.4163351416111602), np.float64(0.8741802846286549))",DPO_dataset/Img_A/A_84.png,DPO_dataset/Img_B/B_84.png,DPO_dataset/Img_true/Real_84.png,DPO_dataset/Img_baseline/Baseline_84.png,DPO_dataset/Img_B/B_84.png,DPO_dataset/Img_A/A_84.png
85,"(np.float64(0.2142051672120451), np.float64(0.7864516083576945))",DPO_dataset/Img_A/A_85.png,DPO_dataset/Img_B/B_85.png,DPO_dataset/Img_true/Real_85.png,DPO_dataset/Img_baseline/Baseline_85.png,DPO_dataset/Img_A/A_85.png,None
86,"(np.float64(0.24981255907677571), np.float64(0.7203421669004698))",DPO_dataset/Img_A/A_86.png,DPO_dataset/Img_B/B_86.png,DPO_dataset/Img_true/Real_86.png,DPO_dataset/Img_baseline/Baseline_86.png,,
87,"(np.float64(0.4206123139011858), np.float64(0.7844808400220059))",DPO_dataset/Img_A/A_87.png,DPO_dataset/Img_B/B_87.png,DPO_dataset/Img_true/Real_87.png,DPO_dataset/Img_baseline/Baseline_87.png,DPO_dataset/Img_A/A_87.png,DPO_dataset/Img_B/B_87.png
88,"(np.float64(0.3048182509303902), np.float64(0.8703457145450896))",DPO_dataset/Img_A/A_88.png,DPO_dataset/Img_B/B_88.png,DPO_dataset/Img_true/Real_88.png,DPO_dataset/Img_baseline/Baseline_88.png,,
89,"(np.float64(0.37996315669670033), np.float64(0.7365695264546082))",DPO_dataset/Img_A/A_89.png,DPO_dataset/Img_B/B_89.png,DPO_dataset/Img_true/Real_89.png,DPO_dataset/Img_baseline/Baseline_89.png,DPO_dataset/Img_B/B_89.png,DPO_dataset/Img_B/B_89.png
90,"(np.float64(0.26864366819612573), np.float64(0.7836546709979245))",DPO_dataset/Img_A/A_90.png,DPO_dataset/Img_B/B_90.png,DPO_dataset/Img_true/Real_90.png,DPO_dataset/Img_baseline/Baseline_90.png,DPO_dataset/Img_A/A_90.png,DPO_dataset/Img_A/A_90.png
91,"(np.float64(0.26726061258110045), np.float64(0.8209595685224137))",DPO_dataset/Img_A/A_91.png,DPO_dataset/Img_B/B_91.png,DPO_dataset/Img_true/Real_91.png,DPO_dataset/Img_baseline/Baseline_91.png,DPO_dataset/Img_B/B_91.png,DPO_dataset/Img_B/B_91.png
92,"(np.float64(0.31428741334459814), np.float64(0.8498027545858162))",DPO_dataset/Img_A/A_92.png,DPO_dataset/Img_B/B_92.png,DPO_dataset/Img_true/Real_92.png,DPO_dataset/Img_baseline/Baseline_92.png,,
93,"(np.float64(0.3838438046352631), np.float64(0.6997172233385183))",DPO_dataset/Img_A/A_93.png,DPO_dataset/Img_B/B_93.png,DPO_dataset/Img_true/Real_93.png,DPO_dataset/Img_baseline/Baseline_93.png,DPO_dataset/Img_A/A_93.png,DPO_dataset/Img_B/B_93.png
94,"(np.float64(0.14561984755248586), np.float64(0.7024011921997223))",DPO_dataset/Img_A/A_94.png,DPO_dataset/Img_B/B_94.png,DPO_dataset/Img_true/Real_94.png,DPO_dataset/Img_baseline/Baseline_94.png,DPO_dataset/Img_B/B_94.png,DPO_dataset/Img_A/A_94.png
95,"(np.float64(0.32407860050029424), np.float64(0.920627565828441))",DPO_dataset/Img_A/A_95.png,DPO_dataset/Img_B/B_95.png,DPO_dataset/Img_true/Real_95.png,DPO_dataset/Img_baseline/Baseline_95.png,DPO_dataset/Img_B/B_95.png,DPO_dataset/Img_B/B_95.png
96,"(np.float64(0.27218563344298324), np.float64(0.73284552504613))",DPO_dataset/Img_A/A_96.png,DPO_dataset/Img_B/B_96.png,DPO_dataset/Img_true/Real_96.png,DPO_dataset/Img_baseline/Baseline_96.png,,
97,"(np.float64(0.4196491784723368), np.float64(0.9932533084129841))",DPO_dataset/Img_A/A_97.png,DPO_dataset/Img_B/B_97.png,DPO_dataset/Img_true/Real_97.png,DPO_dataset/Img_baseline/Baseline_97.png,,
98,"(np.float64(0.2466767722691), np.float64(0.8508568585342781))",DPO_dataset/Img_A/A_98.png,DPO_dataset/Img_B/B_98.png,DPO_dataset/Img_true/Real_98.png,DPO_dataset/Img_baseline/Baseline_98.png,DPO_dataset/Img_B/B_98.png,DPO_dataset/Img_A/A_98.png
99,"(np.float64(0.42428370647706115), np.float64(0.7758249665737621))",DPO_dataset/Img_A/A_99.png,DPO_dataset/Img_B/B_99.png,DPO_dataset/Img_true/Real_99.png,DPO_dataset/Img_baseline/Baseline_99.png,DPO_dataset/Img_A/A_99.png,DPO_dataset/Img_A/A_99.png
100,"(np.float64(0.24981818313420429), np.float64(0.868370931168363))",DPO_dataset/Img_A/A_100.png,DPO_dataset/Img_B/B_100.png,DPO_dataset/Img_true/Real_100.png,DPO_dataset/Img_baseline/Baseline_100.png,DPO_dataset/Img_B/B_100.png,DPO_dataset/Img_B/B_100.png
101,"(np.float64(0.34510566334648723), np.float64(0.7555154330476777))",DPO_dataset/Img_A/A_101.png,DPO_dataset/Img_B/B_101.png,DPO_dataset/Img_true/Real_101.png,DPO_dataset/Img_baseline/Baseline_101.png,,
102,"(np.float64(0.1382590836432629), np.float64(0.8974503641730271))",DPO_dataset/Img_A/A_102.png,DPO_dataset/Img_B/B_102.png,DPO_dataset/Img_true/Real_102.png,DPO_dataset/Img_baseline/Baseline_102.png,,
103,"(np.float64(0.29673525465738276), np.float64(1.0))",DPO_dataset/Img_A/A_103.png,DPO_dataset/Img_B/B_103.png,DPO_dataset/Img_true/Real_103.png,DPO_dataset/Img_baseline/Baseline_103.png,DPO_dataset/Img_A/A_103.png,None
